CountryOrTerritory,Namespace,Network,ResponsibleParty,TimeZone,StationName,EoICode,StationType,StationArea,Pollutant,SamplingPointId,Latitude,Longitude,Altitudee,MeasurementRegime,OperationalActivityBegin,OperationalActivityEnd,Sample,SamplingProcess,MeasurementEquipment,MeasurementMethod,SamplingEquipment,AnalyticalTechnique,envelope
Italy,IT.ISPRA.AQD,Air Quality Monitoring Network of Palermo,Comune,UTC+01,GIULIO CESARE,IT1080A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1080A_5_BETA_1996-08-01_00:00:00,38.110280000000003,13.36556,16,Continuous data collection,1996-07-31T22:00:00Z,2014-12-31T23:00:00Z,SAM.IT1080A_5_BETA_1996-08-01_00:00:00,SPP.IT1080A_5_BETA_1996-08-01_00:00:00,Environnement S.A. Model MP101M (may be used for PM10 and PM2.5),Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,Regione Lazio,"Regione Lazio - Direzione Infrastrutture, Ambiente e Politiche Abitative - Area Conservazione Qualità Ambiente e Bonifica Siti Inquinati",UTC+01,LT ROMAGNOLI,IT0868A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SPO.IT0868A_5_BETA_2011-03-11_00:00:00,41.47139,12.893330000000001,23,Continuous data collection,2011-03-10T23:00:00Z,2013-12-16T23:00:00Z,SAM.IT0868A_5_BETA_2011-03-11_00:00:00,SPP.IT0868A_5_BETA_2011-03-11_00:00:00,Environnement S.A. Model MP101M (may be used for PM10 and PM2.5),Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DELLA PROVINCIA DI AGRIGENTO,PROVINCIA REGIONALE DI AGRIGENTO,UTC+01,PORTO EMPEDOCLE_1,IT1765A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1765A_5_BETA_1998-05-31_00:00:00,37.293329999999997,13.533609999999999,64,Continuous data collection,1998-05-30T22:00:00Z,2013-12-31T23:00:00Z,SAM.IT1765A_5_BETA_1998-05-31_00:00:00,SPP.IT1765A_5_BETA_1998-05-31_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,Provincial monitoring network of Caltanissetta,PROVINCIA REGIONALE DI CALTANISSETTA,UTC+01,Niscemi,IT0817A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT0817A_5_BETA_2009-01-01_00:00:00,37.147351,14.390705,305,Continuous data collection,2008-12-31T23:00:00Z,2015-12-31T23:00:00Z,SAM.IT0817A_5_BETA_2009-01-01_00:00:00,SPP.IT0817A_5_BETA_2009-01-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,Provincial monitoring network of Caltanissetta,PROVINCIA REGIONALE DI CALTANISSETTA,UTC+01,Gela - Via Venezia,IT0813A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SPO.IT0813A_5_BETA_1992-01-18_00:00:00,37.068691,14.258953,15,Continuous data collection,1992-01-17T23:00:00Z,2015-12-31T23:00:00Z,SAM.IT0813A_5_BETA_1992-01-18_00:00:00,SPP.IT0813A_5_BETA_1992-01-18_00:00:00,SWAM 5a Dual channel monitor,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,PROVINCIA DI TARANTO,Arpa Puglia,UTC+01,Grottaglie,IT1679A,Background,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT1679A_5_BETA_2009-01-01_00:00:00,40.537779999999998,17.42389,200,Continuous data collection,2008-12-31T23:00:00Z,2017-09-26T22:00:00Z,SAM.IT1679A_5_BETA_2009-01-01_00:00:00,SPP.IT1679A_5_BETA_2009-01-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE DI RILEVAMENTO QA DELLA ZONA DI PIANURA,Regione Friuli Venezia Giulia,UTC+01,Osoppo,IT1259A,Industrial,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT1259A_5_BETA_2004-01-01_00:00:00,46.220832999999999,13.066667000000001,167,Continuous data collection,2003-12-31T23:00:00Z,,SAM.IT1259A_5_BETA_2004-01-01_00:00:00,SPP.IT1259A_5_BETA_2004-01-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,REGIONE PUGLIA,Arpa Puglia,UTC+01,Taranto ARCHIMEDE,IT1660A,Industrial,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT1660A_5_BETA_2005-04-01_00:00:00,40.494439999999997,17.233059999999998,10,Continuous data collection,2005-03-31T22:00:00Z,2015-12-31T23:00:00Z,SAM.IT1660A_5_BETA_2005-04-01_00:00:00,SPP.IT1660A_5_BETA_2005-04-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE DI RILEVAMENTO QA DELLA ZONA DI PIANURA,Regione Friuli Venezia Giulia,UTC+01,V.Cairoli,IT0966A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT0966A_5_BETA_2010-03-01_00:00:00,46.066110999999999,13.240556,100,Continuous data collection,2010-02-28T23:00:00Z,,SAM.IT0966A_5_BETA_2010-03-01_00:00:00,SPP.IT0966A_5_BETA_2010-03-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,EDISON SPA,Regione Friuli Venezia Giulia,UTC+01,Castions,IT2169A,Background,Rural,Particulate matter < 10 µm (aerosol),SPO.IT2169A_5_BETA_2007-02-05_00:00:00,45.841943999999998,13.301944000000001,3,Continuous data collection,2007-02-04T23:00:00Z,,SAM.IT2169A_5_BETA_2007-02-05_00:00:00,SPP.IT2169A_5_BETA_2007-02-05_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,ARPACAL,ARPACAL,UTC+01,Mezzo Mobile Zona D Martirano Lombardo,IT2189A,Background,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT2189A_5_BETA_2013-02-12_00:00:00,39.07517,16.23217,516,Continuous data collection,2013-02-11T23:00:00Z,2013-10-28T23:00:00Z,SAM.IT2189A_5_BETA_2013-02-12_00:00:00,SPP.IT2189A_5_BETA_2013-02-12_00:00:00,SWAM 5a Dual channel monitor,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE REGIONALE QUALITÀ ARIA AMBIENTE,"Regione Marche - Servizio Tutela, Gesrtione e Assetto del Territorio - PF Valutazioni e autorizzazioni ambientali, qualità dell'aria e protezione naturalistica",UTC+01,FALCONARA SCUOLA,IT0461A,Industrial,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT0461A_5_BETA_2002-09-01_00:00:00,43.633330000000001,13.387499999999999,10,Continuous data collection,2002-08-31T22:00:00Z,,SAM.IT0461A_5_BETA_2002-09-01_00:00:00,SPP.IT0461A_5_BETA_2002-09-01_00:00:00,MetOne BAM-1020,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,MONITORAGGIO AMBIENTALE DELLA REGIONE CAMPANIA A CURA DELL'A.R.P.A.C.,ARPAC - Agenzia Regionale per la Protezione Ambientale Campania,UTC+01,Montesarchio,IT2199A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SPO.IT2199A_5_gravi_2014-02-14_00:00:00,41.063090000000003,14.638769999999999,295,Continuous data collection,2014-02-13T23:00:00Z,2014-05-19T22:00:00Z,SAM.IT2199A_5_gravi_2014-02-14_00:00:00,SPP.IT2199A_5_gravi_2014-02-14_00:00:00,,,,Gravimetric analysis,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,Regione Sardegna,UTC+01,CENOR2,IT1377A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1377A_5_BETA_2005-01-01_00:00:00,39.909170000000003,8.594720000000001,3,Continuous data collection,2004-12-31T23:00:00Z,,SAM.IT1377A_5_BETA_2005-01-01_00:00:00,SPP.IT1377A_5_BETA_2005-01-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,Regione Sardegna,UTC+01,CENPS4,IT1273A,Background,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT1273A_5_BETA_2005-01-01_00:00:00,39.208610999999998,8.390000000000001,18,Continuous data collection,2004-12-31T23:00:00Z,,SAM.IT1273A_5_BETA_2005-01-01_00:00:00,SPP.IT1273A_5_BETA_2005-01-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,Regione Sardegna,UTC+01,CENNU2,IT1427A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1427A_5_BETA_2005-01-01_00:00:00,40.318890000000003,9.328889999999999,511,Continuous data collection,2004-12-31T23:00:00Z,,SAM.IT1427A_5_BETA_2005-01-01_00:00:00,SPP.IT1427A_5_BETA_2005-01-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,Regione Sardegna,UTC+01,CENAS8,IT1397A,Industrial,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT1397A_5_BETA_2001-12-07_00:00:00,39.226944000000003,8.995832999999999,9,Continuous data collection,2001-12-06T23:00:00Z,,SAM.IT1397A_5_BETA_2001-12-07_00:00:00,SPP.IT1397A_5_BETA_2001-12-07_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,Regione Sardegna,UTC+01,CENSA2,IT1269A,Industrial,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT1269A_5_BETA_2001-12-07_00:00:00,39.07,9.016667,22,Continuous data collection,2001-12-06T23:00:00Z,,SAM.IT1269A_5_BETA_2001-12-07_00:00:00,SPP.IT1269A_5_BETA_2001-12-07_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,Regione Sardegna,UTC+01,CENIG1,IT1992A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1992A_5_BETA_2010-05-26_00:00:00,39.311110999999997,8.541389000000001,180,Continuous data collection,2010-05-25T22:00:00Z,,SAM.IT1992A_5_BETA_2010-05-26_00:00:00,SPP.IT1992A_5_BETA_2010-05-26_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE SIMAGE BRINDISI,Arpa Puglia,UTC+01,brindisi VIA MAGELLANO,IT1702A,Background,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT1702A_5_BETA_2004-05-01_00:00:00,40.650829999999999,17.94361,10,Continuous data collection,2004-04-30T22:00:00Z,2015-12-31T23:00:00Z,SAM.IT1702A_5_BETA_2004-05-01_00:00:00,SPP.IT1702A_5_BETA_2004-05-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,MONITORAGGIO AMBIENTALE DELLA REGIONE CAMPANIA A CURA DELL'A.R.P.A.C.,ARPAC - Agenzia Regionale per la Protezione Ambientale Campania,UTC+01,AV41 SCUOLA V CIRCOLO,IT0936A,Background,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT0936A_5_nephelometry_1994-04-01_00:00:00,40.914169999999999,14.78556,357,Continuous data collection,1994-03-31T22:00:00Z,2015-12-31T23:00:00Z,SAM.IT0936A_5_nephelometry_1994-04-01_00:00:00,SPP.IT0936A_5_nephelometry_1994-04-01_00:00:00,,Nephelometry,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE DI RILEVAMENTO QA DELLA ZONA DI PIANURA,Regione Friuli Venezia Giulia,UTC+01,Via S.Daniele,IT2140A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SPO.IT2140A_5_BETA_2014-02-11_00:00:00,46.07083,13.22972,116,Continuous data collection,2014-02-10T23:00:00Z,,SAM.IT2140A_5_BETA_2014-02-11_00:00:00,SPP.IT2140A_5_BETA_2014-02-11_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,PROVINCIA DI BARI,Arpa Puglia,UTC+01,CASAMASSIMA,IT1823A,Background,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT1823A_5_BETA_2009-07-01_00:00:00,40.953330000000001,16.919720000000002,100,Continuous data collection,2009-06-30T22:00:00Z,2016-10-11T22:00:00Z,SAM.IT1823A_5_BETA_2009-07-01_00:00:00,SPP.IT1823A_5_BETA_2009-07-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE REGIONALE QUALITA' ARIA DEL VENETO,Regione Veneto,UTC+01,BL - La Cerva,IT2245A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SPO.IT2245A_5_gravi_2017-01-01_00:00:00,46.14376,12.21278,403,Continuous data collection,2016-12-31T23:00:00Z,,SAM.IT2245A_5_gravi_2017-01-01_00:00:00,SPP.IT2245A_5_gravi_2017-01-01_00:00:00,,,,Gravimetric analysis,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,Regione Sardegna,UTC+01,CENSA1,IT1270A,Background,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT1270A_5_BETA_2005-01-01_00:00:00,39.081667000000003,9.012222,15,Continuous data collection,2004-12-31T23:00:00Z,2018-09-30T23:00:00Z,SAM.IT1270A_5_BETA_2005-01-01_00:00:00,SPP.IT1270A_5_BETA_2005-01-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,Regione Sardegna,UTC+01,CENSN1,IT1277A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1277A_5_BETA_2005-01-01_00:00:00,40.575000000000003,9.69444,39,Continuous data collection,2004-12-31T23:00:00Z,,SAM.IT1277A_5_BETA_2005-01-01_00:00:00,SPP.IT1277A_5_BETA_2005-01-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,Regione Sardegna,UTC+01,CENOR1,IT1378A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1378A_5_BETA_2005-01-01_00:00:00,39.898890000000002,8.59778,10,Continuous data collection,2004-12-31T23:00:00Z,,SAM.IT1378A_5_BETA_2005-01-01_00:00:00,SPP.IT1378A_5_BETA_2005-01-01_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE MONITORAGGIO ARIA REGIONE SARDEGNA,Regione Sardegna,UTC+01,CESGI1,IT2008A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT2008A_5_BETA_2011-02-17_00:00:00,39.885278,8.605278,4,Continuous data collection,2011-02-16T23:00:00Z,,SAM.IT2008A_5_BETA_2011-02-17_00:00:00,SPP.IT2008A_5_BETA_2011-02-17_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,ARPACAL,ARPACAL,UTC+01,Mezzo Mobile Zona C Platania,IT2186A,Background,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT2186A_5_BETA_2013-01-16_00:00:00,39.004289999999997,16.3188,731,Continuous data collection,2013-01-15T23:00:00Z,2013-11-24T23:00:00Z,SAM.IT2186A_5_BETA_2013-01-16_00:00:00,SPP.IT2186A_5_BETA_2013-01-16_00:00:00,SWAM 5a Dual channel monitor,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,TRENTINO URBAN AND REGION NETWORK,A.P.P.A. PROVINCIA AUTONOMA DI TRENTO,UTC+01,PIANA ROTALIANA,IT1930A,Background,Rural,Particulate matter < 10 µm (aerosol),SPO.IT1930A_5_nephelometry_beta_2008-08-07_00:00:00,46.196840000000002,11.113429999999999,227,Continuous data collection,2008-08-06T22:00:00Z,2014-12-31T23:00:00Z,SAM.IT1930A_5_nephelometry_beta_2008-08-07_00:00:00,SPP.IT1930A_5_nephelometry_beta_2008-08-07_00:00:00,Thermo model 5030 SHARP Particular Monitor with PM10 & PM2.5 heads,Nephelometry + BETA,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,ARPACAL,ARPACAL,UTC+01,Mezzo Mobile Zona D San Ferdinando,IT2193A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT2193A_5_BETA_2013-01-17_00:00:00,38.482999999999997,15.9161,8,Continuous data collection,2013-01-16T23:00:00Z,2013-11-06T23:00:00Z,SAM.IT2193A_5_BETA_2013-01-17_00:00:00,SPP.IT2193A_5_BETA_2013-01-17_00:00:00,SWAM 5a Dual channel monitor,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,ARPACAL,ARPACAL,UTC+01,Biomasse Crotone,IT2195A,Industrial,Urban,Particulate matter < 10 µm (aerosol),SPO.IT2195A_5_BETA_2013-04-12_00:00:00,39.107010000000002,17.10135,5,Continuous data collection,2013-04-11T22:00:00Z,2014-12-31T23:00:00Z,SAM.IT2195A_5_BETA_2013-04-12_00:00:00,SPP.IT2195A_5_BETA_2013-04-12_00:00:00,SWAM 5a Dual channel monitor,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,Air Quality Monitoring Network of Palermo,Comune,UTC+01,UNITA DI ITALIA,IT1207A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1207A_5_BETA_1996-08-01_00:00:00,38.136940000000003,13.34417,24,Continuous data collection,1996-07-31T22:00:00Z,2014-12-31T23:00:00Z,SAM.IT1207A_5_BETA_1996-08-01_00:00:00,SPP.IT1207A_5_BETA_1996-08-01_00:00:00,Environnement S.A. Model MP101M (may be used for PM10 and PM2.5),Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,Aosta Valley Air Quality Network,ARPA Valle d'Aosta,UTC+01,Aosta - via Roma,IT2266A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SPO.IT2266A_5_BETA_2016-01-01_00:00:00,45.742240000000002,7.31563,585,Continuous data collection,2015-12-31T23:00:00Z,2016-12-31T23:00:00Z,SAM.IT2266A_5_BETA_2016-01-01_00:00:00,SPP.IT2266A_5_BETA_2016-01-01_00:00:00,Opsis SM200 Particulate Analyser with PM2.5 & PM10 Heads,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,Rete di Rilevamento della Qualità dell'Aria della Provincia di Cremona,ARPA LOMBARDIA,UTC+01,SORESINA,IT0840A,Traffic,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT0840A_5_BETA_2000-02-03_00:00:00,45.284722000000002,9.864167,70,Continuous data collection,2000-02-02T23:00:00Z,,SAM.IT0840A_5_BETA_2000-02-03_00:00:00,SPP.IT0840A_5_BETA_2000-02-03_00:00:00,SWAM 5a Dual channel monitor,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,Rete di Rilevamento della Qualità dell'Aria della Provincia di Lodi,ARPA LOMBARDIA,UTC+01,TAVAZZANO,IT0267A,Background,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT0267A_5_BETA_2005-04-07_00:00:00,45.329444000000002,9.414721999999999,80,Continuous data collection,2005-04-06T22:00:00Z,,SAM.IT0267A_5_BETA_2005-04-07_00:00:00,SPP.IT0267A_5_BETA_2005-04-07_00:00:00,Environnement S.A. Model MP101M (may be used for PM10 and PM2.5),Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,Rete di Rilevamento della Qualità dell'Aria della Provincia di Milano,ARPA LOMBARDIA,UTC+01,MONZA PARCO,IT2098A,Background,Suburban,Particulate matter < 10 µm (aerosol),SPO.IT2098A_5_BETA_2013-01-20_01:00:00,45.602220000000003,9.276109999999999,181,Continuous data collection,2013-01-20T00:00:00Z,,SAM.IT2098A_5_BETA_2013-01-20_01:00:00,SPP.IT2098A_5_BETA_2013-01-20_01:00:00,Opsis SM200 Particulate Analyser with PM2.5 & PM10 Heads,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE REGIONALE DI QUALITÀ DELL'ARIA DELLA REGIONE EMILIA-ROMAGNA,Arpae Emilia-Romagna,UTC+01,VILLA FULVIA,IT1918A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1918A_5_BETA_2008-11-20_00:00:00,44.825000000000003,11.649722000000001,9,Continuous data collection,2008-11-19T23:00:00Z,,SAM.IT1918A_5_BETA_2008-11-20_00:00:00,SPP.IT1918A_5_BETA_2008-11-20_00:00:00,SWAM 5a Dual channel monitor,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE REGIONALE DI QUALITÀ DELL'ARIA DELLA REGIONE EMILIA-ROMAGNA,Arpae Emilia-Romagna,UTC+01,ISONZO,IT0187A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SPO.IT0187A_5_BETA_2002-01-28_00:00:00,44.842500000000001,11.613060000000001,8,Continuous data collection,2002-01-27T23:00:00Z,,SAM.IT0187A_5_BETA_2002-01-28_00:00:00,SPP.IT0187A_5_BETA_2002-01-28_00:00:00,SWAM 5a Dual channel monitor,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE REGIONALE DI QUALITÀ DELL'ARIA DELLA REGIONE EMILIA-ROMAGNA,Arpae Emilia-Romagna,UTC+01,SAN PIETRO CAPOFIUME,IT1451A,Background,Rural,Particulate matter < 10 µm (aerosol),SPO.IT1451A_5_BETA_2009-05-01_00:00:00,44.662222,11.639443999999999,11,Continuous data collection,2009-04-30T22:00:00Z,,SAM.IT1451A_5_BETA_2009-05-01_00:00:00,SPP.IT1451A_5_BETA_2009-05-01_00:00:00,SWAM 5a Dual channel monitor,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,RETE REGIONALE DI QUALITÀ DELL'ARIA DELLA REGIONE EMILIA-ROMAGNA,Arpae Emilia-Romagna,UTC+01,SAN LAZZARO,IT1163A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1163A_5_BETA_2010-01-01_00:00:00,44.47222,11.41639,64,Continuous data collection,2009-12-31T23:00:00Z,,SAM.IT1163A_5_BETA_2010-01-01_00:00:00,SPP.IT1163A_5_BETA_2010-01-01_00:00:00,SWAM 5a Dual channel monitor,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,Rete di Rilevamento della Qualità dell'Aria della Provincia di Brescia,ARPA LOMBARDIA,UTC+01,SAREZZO,IT0740A,Industrial,Urban,Particulate matter < 10 µm (aerosol),SPO.IT0740A_5_BETA_2000-06-22_00:00:00,45.655000000000001,10.20083,274,Continuous data collection,2000-06-21T22:00:00Z,,SAM.IT0740A_5_BETA_2000-06-22_00:00:00,SPP.IT0740A_5_BETA_2000-06-22_00:00:00,Environnement S.A. Model MP101M (may be used for PM10 and PM2.5),Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,Rete di Rilevamento della Qualità dell'Aria della Provincia di Mantova,ARPA LOMBARDIA,UTC+01,MANTOVA SANT'AGNESE,IT1868A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT1868A_5_BETA_2004-12-27_00:00:00,45.160556,10.795555999999999,22,Continuous data collection,2004-12-26T23:00:00Z,,SAM.IT1868A_5_BETA_2004-12-27_00:00:00,SPP.IT1868A_5_BETA_2004-12-27_00:00:00,Environnement S.A. Model MP101M (may be used for PM10 and PM2.5),Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,Rete di Rilevamento della Qualità dell'Aria della Provincia di Lecco,ARPA LOMBARDIA,UTC+01,MERATE,IT0777A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SPO.IT0777A_5_BETA_1999-11-01_00:00:00,45.697959560000001,9.406191939999999,292,Continuous data collection,1999-10-31T23:00:00Z,,SAM.IT0777A_5_BETA_1999-11-01_00:00:00,SPP.IT0777A_5_BETA_1999-11-01_00:00:00,SWAM 5a Dual channel monitor,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,Rete di Rilevamento della Qualità dell'Aria della Provincia di Sondrio,ARPA LOMBARDIA,UTC+01,BORMIO,IT0908A,Background,Urban,Particulate matter < 10 µm (aerosol),SPO.IT0908A_5_BETA_2003-04-10_00:00:00,46.470278,10.3725,1225,Continuous data collection,2003-04-09T22:00:00Z,,SAM.IT0908A_5_BETA_2003-04-10_00:00:00,SPP.IT0908A_5_BETA_2003-04-10_00:00:00,,Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
Italy,IT.ISPRA.AQD,Rete di Rilevamento della Qualità dell'Aria della Provincia di Milano,ARPA LOMBARDIA,UTC+01,MILANO - V.LE MARCHE,IT0477A,Traffic,Urban,Particulate matter < 10 µm (aerosol),SPO.IT0477A_5_BETA_2018-01-01_00-00-00,45.495556000000001,9.191388999999999,122,Continuous data collection,2018-01-01T22:00:00Z,,SAM.IT0477A_5_BETA_2018-01-01_00:00:00,SPP.IT0477A_5_BETA_2018-01-01_00:00:00,Environnement S.A. Model MP101M (may be used for PM10 and PM2.5),Beta ray attenuation,,,http://cdr.eionet.europa.eu/it/eu/aqd/d/envxdgukq
